Assembly	meta_contigs_1	meta_contigs_2
# misassemblies	0	0
  # contig misassemblies	0	0
    # c. relocations	0	0
    # c. translocations	0	0
    # c. inversions	0	0
  # scaffold misassemblies	0	0
    # s. relocations	0	0
    # s. translocations	0	0
    # s. inversions	0	0
# misassembled contigs	0	0
Misassembled contigs length	0	0
# possibly misassembled contigs	0	0
    # possible misassemblies	0	0
# local misassemblies	0	0
# scaffold gap ext. mis.	0	0
# scaffold gap loc. mis.	0	0
# unaligned mis. contigs	0	1
# mismatches	42	17
# indels	2	0
    # indels (<= 5 bp)	2	0
    # indels (> 5 bp)	0	0
Indels length	2	0
